mean,variance,homogeneity,contrast,dissimilarity,entroy,energy,correlation,ASM
-0.21521506784008038,-0.029535166795951567,-0.008081476286136187,-0.20045323674103468,-0.20045323674103468,0.9093775221984312,-0.015637247159192524,-0.21047019714558443,-0.029531893489416764
-0.21409584301668663,-0.029607329962094364,-0.00982373153832495,-0.2005515029899373,-0.2005515029899373,0.9099164102026829,-0.01677478013380912,-0.2089076099636811,-0.02960410960821219
-0.214987247065666,-0.030337139683860894,-0.007861446883386991,-0.1994185698909633,-0.1994185698909633,0.9096022191848577,-0.015780385034564377,-0.2114650003951253,-0.030333860340327798
-0.2140376794091852,-0.030439109314837804,-0.009302754831502115,-0.19945151532678165,-0.19945151532678165,0.9100647424616272,-0.016735126978542337,-0.21021116732383852,-0.030435873950157896
-0.19523435648549728,-0.04276269861236808,-0.03357163226306517,-0.18905009858156888,-0.18905009858156888,0.9206535465084867,-0.03673856264831334,-0.1914859147408302,-0.04276018459527517
-0.27814966031004784,-0.1554144804899685,0.08751261901793393,-0.04621544370130514,-0.04621544370130514,0.8904017517854262,-0.0350692888743968,-0.2614429224858112,-0.15540713124052535
-0.21459107745687522,-0.029502249447057875,-0.00910570226117041,-0.2006057186832484,-0.2006057186832484,0.9096677142835325,-0.016279092366566616,-0.20947914817033228,-0.02949900721503379
-0.21425909199394566,-0.02977688268495103,-0.00942006458359075,-0.20028405003386285,-0.20028405003386285,0.9098597167470336,-0.016576134960637496,-0.20948579206183285,-0.02977365039435004
-0.21566125664506577,-0.028877055964009583,-0.008010166747611406,-0.2013928578797106,-0.2013928578797106,0.9091177096318656,-0.015364422750302975,-0.20954531323988237,-0.028873778525572116
-0.1484474609019674,-0.10620909046721326,-0.0839674093340657,-0.13097673212579106,-0.13180749227066516,0.9409957630918514,-0.0930449712962265,-0.14033462582685782,-0.10620798086906465
-0.27201584059462547,-0.1250852592015769,0.07805555578840297,-0.1005333417167907,-0.1005333417167907,0.9010881432139425,-0.01907195947681321,-0.23682534721961465,-0.12507860907613425
-0.2144991633119093,-0.02977960020796842,-0.009080531699939715,-0.20028022919846158,-0.20028022919846158,0.9097617581226656,-0.01636183150336021,-0.20970381579024955,-0.0297763572123147
